scheduler,profile,vehicles,cores,exec,overrun,net_delay_ms,seed,duration_s,missed_jobs,veh,avg_perf,max_roll,soft_pct,hard,max_age_fresh_ms,max_age_path_ms,min_ttpnr_ms,past_pnr_ms
rm,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.020859,0.185060,0.0000,0,80.50,100.50,-1.00,0.0
rm,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.068131,0.844841,0.5667,0,80.50,80.50,385.10,0.0
rm,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.029897,0.374502,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.506996,2.738879,13.4333,0,90.50,90.50,400.10,0.0
rm,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.230993,1.933868,4.8333,0,90.50,90.50,320.10,0.0
rm,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.051836,0.677818,0.0000,0,90.50,90.50,295.10,0.0
prm,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.018840,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.060111,0.814939,0.0000,0,90.50,90.50,385.10,0.0
prm,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.024771,0.339831,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.345708,1.886144,9.2000,0,90.50,90.50,-1.00,0.0
prm,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.260777,2.155924,5.5333,0,90.50,90.50,320.10,0.0
prm,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.042210,0.601060,0.0000,0,90.50,90.50,295.10,0.0
edf,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.020859,0.185060,0.0000,0,80.50,100.50,-1.00,0.0
edf,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.068131,0.844841,0.5667,0,80.50,80.50,385.10,0.0
edf,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.029897,0.374502,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.506996,2.738879,13.4333,0,90.50,90.50,400.10,0.0
edf,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.230993,1.933868,4.8333,0,90.50,90.50,320.10,0.0
edf,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.051836,0.677818,0.0000,0,90.50,90.50,295.10,0.0
context,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.020985,0.187326,0.0000,0,90.50,100.50,-1.00,0.0
context,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.073133,0.912455,0.5667,0,100.50,100.50,385.10,0.0
context,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.030609,0.370642,0.0000,0,90.50,110.50,-1.00,0.0
context,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.427096,2.286603,11.0333,0,90.50,100.50,425.10,0.0
context,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.303263,2.466968,6.7333,0,90.50,100.50,300.10,0.0
context,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.051398,0.674417,0.0000,0,100.50,100.50,295.10,0.0
honest,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.021148,0.184457,0.0000,0,100.50,120.50,-1.00,0.0
honest,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.073197,0.912455,0.5667,0,100.50,110.50,385.10,0.0
honest,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.030521,0.367756,0.0000,0,100.50,120.50,-1.00,0.0
honest,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.427771,2.283572,11.0333,0,100.50,110.50,425.10,0.0
honest,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.302520,2.459306,6.7000,0,90.50,110.50,300.10,0.0
honest,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.051020,0.670445,0.0000,0,100.50,120.50,295.10,0.0
ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,0,0.020392,0.183246,0.0000,0,85.50,100.50,-1.00,0.0
ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,1,0.069080,0.882411,0.5333,0,90.50,90.50,385.10,0.0
ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,2,0.029616,0.369984,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,3,0.503194,2.715387,13.3333,0,90.50,100.50,420.10,0.0
ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,4,0.241184,2.012756,4.9667,0,100.50,100.50,310.10,0.0
ttu,v10,6,3,worst,kill,-1.00,0,30.000,0,5,0.051968,0.671859,0.0000,0,100.50,100.50,295.10,0.0
rm,v10,8,3,worst,kill,-1.00,0,30.000,0,0,0.019662,0.174863,0.0000,0,80.50,80.50,-1.00,0.0
rm,v10,8,3,worst,kill,-1.00,0,30.000,0,1,0.040696,0.232105,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,8,3,worst,kill,-1.00,0,30.000,0,2,0.092938,0.850810,0.9333,0,90.50,90.50,320.10,0.0
rm,v10,8,3,worst,kill,-1.00,0,30.000,0,3,0.024512,0.302840,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,8,3,worst,kill,-1.00,0,30.000,0,4,0.506996,2.738879,13.4333,0,90.50,90.50,400.10,0.0
rm,v10,8,3,worst,kill,-1.00,0,30.000,0,5,0.630407,3.132426,15.1667,0,90.50,90.50,380.10,0.0
rm,v10,8,3,worst,kill,-1.00,0,30.000,0,6,0.025852,0.167969,0.0000,0,85.50,85.50,-1.00,0.0
rm,v10,8,3,worst,kill,-1.00,0,30.000,0,7,0.012086,0.165309,0.0000,0,85.50,85.50,-1.00,0.0
prm,v10,8,3,worst,kill,-1.00,0,30.000,0,0,0.018840,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,8,3,worst,kill,-1.00,0,30.000,0,1,0.031429,0.228991,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,8,3,worst,kill,-1.00,0,30.000,0,2,0.069107,0.719465,0.2333,0,90.50,90.50,320.10,0.0
prm,v10,8,3,worst,kill,-1.00,0,30.000,0,3,0.021257,0.285360,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,8,3,worst,kill,-1.00,0,30.000,0,4,0.345708,1.886144,9.2000,0,90.50,90.50,-1.00,0.0
prm,v10,8,3,worst,kill,-1.00,0,30.000,0,5,0.439763,2.168163,11.3000,0,90.50,90.50,430.10,0.0
prm,v10,8,3,worst,kill,-1.00,0,30.000,0,6,0.019092,0.165543,0.0000,0,85.50,85.50,-1.00,0.0
prm,v10,8,3,worst,kill,-1.00,0,30.000,0,7,0.011987,0.165309,0.0000,0,85.50,85.50,-1.00,0.0
edf,v10,8,3,worst,kill,-1.00,0,30.000,0,0,0.019662,0.174863,0.0000,0,80.50,80.50,-1.00,0.0
edf,v10,8,3,worst,kill,-1.00,0,30.000,0,1,0.040696,0.232105,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,8,3,worst,kill,-1.00,0,30.000,0,2,0.092938,0.850810,0.9333,0,90.50,90.50,320.10,0.0
edf,v10,8,3,worst,kill,-1.00,0,30.000,0,3,0.024512,0.302840,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,8,3,worst,kill,-1.00,0,30.000,0,4,0.506996,2.738879,13.4333,0,90.50,90.50,400.10,0.0
edf,v10,8,3,worst,kill,-1.00,0,30.000,0,5,0.630407,3.132426,15.1667,0,90.50,90.50,380.10,0.0
edf,v10,8,3,worst,kill,-1.00,0,30.000,0,6,0.025852,0.167969,0.0000,0,85.50,85.50,-1.00,0.0
edf,v10,8,3,worst,kill,-1.00,0,30.000,0,7,0.012741,0.171037,0.0000,0,85.50,95.50,-1.00,0.0
context,v10,8,3,worst,kill,-1.00,0,30.000,1500,0,0.024713,0.187482,0.0000,0,90.50,105.50,-1.00,0.0
context,v10,8,3,worst,kill,-1.00,0,30.000,1500,1,0.036873,0.233405,0.0000,0,90.50,110.50,-1.00,0.0
context,v10,8,3,worst,kill,-1.00,0,30.000,1500,2,0.088582,0.844053,0.9333,0,100.50,120.50,320.10,0.0
context,v10,8,3,worst,kill,-1.00,0,30.000,1500,3,0.025636,0.299843,0.0000,0,100.50,105.50,-1.00,0.0
context,v10,8,3,worst,kill,-1.00,0,30.000,1500,4,0.426490,2.286419,11.0000,0,105.50,105.50,430.10,0.0
context,v10,8,3,worst,kill,-1.00,0,30.000,1500,5,0.527951,2.618385,13.4667,0,90.50,105.50,405.10,0.0
context,v10,8,3,worst,kill,-1.00,0,30.000,1500,6,0.027924,0.188666,0.0000,0,95.50,105.50,-1.00,0.0
context,v10,8,3,worst,kill,-1.00,0,30.000,1500,7,0.018313,0.174006,0.0000,0,100.50,105.50,-1.00,0.0
honest,v10,8,3,worst,kill,-1.00,0,30.000,1498,0,0.022331,0.185431,0.0000,0,105.50,120.50,-1.00,0.0
honest,v10,8,3,worst,kill,-1.00,0,30.000,1498,1,0.036990,0.233410,0.0000,0,100.50,120.50,-1.00,0.0
honest,v10,8,3,worst,kill,-1.00,0,30.000,1498,2,0.088722,0.844053,0.9333,0,100.50,110.50,320.10,0.0
honest,v10,8,3,worst,kill,-1.00,0,30.000,1498,3,0.026311,0.299842,0.0000,0,100.50,120.50,-1.00,0.0
honest,v10,8,3,worst,kill,-1.00,0,30.000,1498,4,0.427355,2.286155,11.0333,0,100.50,120.50,430.10,0.0
honest,v10,8,3,worst,kill,-1.00,0,30.000,1498,5,0.529430,2.620244,13.5000,0,105.50,120.50,405.10,0.0
honest,v10,8,3,worst,kill,-1.00,0,30.000,1498,6,0.026430,0.174495,0.0000,0,105.50,105.50,-1.00,0.0
honest,v10,8,3,worst,kill,-1.00,0,30.000,1498,7,0.014318,0.175637,0.0000,0,105.50,115.50,-1.00,0.0
ttu,v10,8,3,worst,kill,-1.00,0,30.000,0,0,0.019665,0.174863,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,8,3,worst,kill,-1.00,0,30.000,0,1,0.040696,0.232105,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,8,3,worst,kill,-1.00,0,30.000,0,2,0.092858,0.850036,0.9333,0,100.50,100.50,320.10,0.0
ttu,v10,8,3,worst,kill,-1.00,0,30.000,0,3,0.024519,0.302960,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,8,3,worst,kill,-1.00,0,30.000,0,4,0.502810,2.715323,13.3333,0,90.50,100.50,420.10,0.0
ttu,v10,8,3,worst,kill,-1.00,0,30.000,0,5,0.621287,3.070115,15.0667,0,100.50,100.50,400.10,0.0
ttu,v10,8,3,worst,kill,-1.00,0,30.000,0,6,0.025852,0.167969,0.0000,0,85.50,85.50,-1.00,0.0
ttu,v10,8,3,worst,kill,-1.00,0,30.000,0,7,0.012086,0.165309,0.0000,0,85.50,85.50,-1.00,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,0,0.021676,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,1,0.039162,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,2,0.046246,0.268366,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,3,0.037394,0.914847,0.0000,0,90.50,90.50,335.10,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,4,0.030718,0.300585,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,5,0.514382,2.763037,13.5333,0,90.50,90.50,400.10,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,6,0.647685,3.278419,15.4333,0,85.50,95.50,380.10,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,7,0.055494,0.833165,0.0000,0,85.50,85.50,370.10,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,8,0.065153,0.973726,0.9333,0,85.50,85.50,185.10,0.0
rm,v10,10,3,worst,kill,-1.00,0,30.000,0,9,0.015012,0.175398,0.0000,0,85.50,85.50,-1.00,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,0,0.018840,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,1,0.030435,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,2,0.036949,0.264041,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,3,0.037571,0.889058,0.0000,0,90.50,100.50,410.10,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,4,0.025490,0.285360,0.0000,0,90.50,90.50,-1.00,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,5,0.345708,1.886144,9.2000,0,90.50,90.50,-1.00,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,6,0.460990,2.326389,11.6333,0,85.50,85.50,410.10,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,7,0.046319,0.738602,0.0000,0,85.50,85.50,390.10,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,8,0.064006,0.972954,0.9333,0,85.50,85.50,185.10,0.0
prm,v10,10,3,worst,kill,-1.00,0,30.000,2998,9,47.097191,1106.565968,12.3667,280,-1.00,-1.00,0.00,3060.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,0,0.021676,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,1,0.039162,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,2,0.046246,0.268366,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,3,0.037394,0.914847,0.0000,0,90.50,90.50,335.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,4,0.030718,0.300585,0.0000,0,90.50,90.50,-1.00,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,5,0.514382,2.763037,13.5333,0,90.50,90.50,400.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,6,0.535170,2.692061,13.7000,0,75.50,85.50,415.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,7,0.060783,0.882261,0.0000,0,85.50,95.50,365.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,8,0.068346,1.027100,0.9000,0,85.50,95.50,185.10,0.0
edf,v10,10,3,worst,kill,-1.00,0,30.000,0,9,0.015790,0.180942,0.0000,0,80.50,95.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,0,0.033678,0.181410,0.0000,0,105.50,105.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,1,0.040600,0.197187,0.0000,0,95.50,110.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,2,0.047068,0.276382,0.0000,0,100.50,120.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,3,0.040360,0.916870,0.0000,0,95.50,110.50,335.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,4,0.033515,0.318060,0.0000,0,105.50,120.50,-1.00,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,5,0.428491,2.267686,11.0333,0,90.50,125.50,425.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,6,0.471580,2.415861,11.9667,0,105.50,105.50,410.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,7,0.059170,0.764622,0.0000,0,105.50,110.50,375.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,8,0.066742,0.989417,0.8667,0,105.50,105.50,235.10,0.0
context,v10,10,3,worst,kill,-1.00,0,30.000,4496,9,0.025580,0.198545,0.0000,0,95.50,115.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,0,0.028499,0.177840,0.0000,0,105.50,125.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,1,0.040795,0.207821,0.0000,0,105.50,125.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,2,0.044870,0.275475,0.0000,0,105.50,120.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,3,0.039265,0.910958,0.0000,0,100.50,120.50,335.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,4,0.033727,0.318434,0.0000,0,105.50,130.50,-1.00,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,5,0.429201,2.268524,11.0333,0,100.50,115.50,425.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,6,0.456718,2.386993,11.4667,0,105.50,105.50,415.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,7,0.054950,0.749753,0.0000,0,105.50,125.50,380.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,8,0.067298,1.008836,0.9333,0,105.50,125.50,185.10,0.0
honest,v10,10,3,worst,kill,-1.00,0,30.000,4496,9,0.020663,0.183068,0.0000,0,105.50,125.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,0,0.021614,0.181708,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,1,0.039110,0.181708,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,2,0.045998,0.264789,0.0000,0,90.50,90.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,3,0.038284,0.923330,0.0000,0,90.50,100.50,335.10,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,4,0.030518,0.298550,0.0000,0,95.50,95.50,-1.00,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,5,0.508307,2.736186,13.4667,0,100.50,100.50,420.10,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,6,0.627769,3.133289,15.1333,0,100.50,110.50,400.10,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,7,0.056130,0.834770,0.0000,0,110.50,110.50,375.10,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,8,0.064465,0.972614,0.8667,0,100.50,110.50,235.10,0.0
ttu,v10,10,3,worst,kill,-1.00,0,30.000,5,9,0.015012,0.175398,0.0000,0,85.50,85.50,-1.00,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,0,0.023119,0.193611,0.0000,0,90.50,110.50,-1.00,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,1,0.040704,0.182397,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,2,0.075666,0.913404,0.5667,0,90.50,90.50,385.10,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,3,0.092938,0.850810,0.9333,0,90.50,90.50,320.10,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,4,0.029709,0.372205,0.0000,0,90.50,90.50,-1.00,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,5,0.145453,2.137507,2.5667,0,100.50,100.50,430.10,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,6,0.606260,3.245486,15.1333,0,85.50,85.50,390.10,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,7,0.581233,3.029576,14.4333,0,85.50,85.50,405.10,0.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,8,7.401093,39.302210,61.0333,676,85.50,85.50,0.00,8505.0
rm,v10,12,3,worst,kill,-1.00,0,30.000,11992,9,2.558619,16.235346,31.7000,445,85.50,85.50,0.00,5210.0
